"income","sex","family.size","urbanity","province","AP.income","AP.family.size","AP.weight"
"448",172770,"male",8,"urban","Pangasinan",69488,8,3207
"449",329505,"male",4,"urban","Pangasinan",880181.61,3,3207
"450",266825,"female",1,"urban","Pangasinan",200990,1,3207
"451",121574,"male",5.5,"urban","Pangasinan",249304,3,3207
"452",60277,"male",7,"urban","Pangasinan",36535.4,7,3207
"453",36032,"male",3,"urban","Pangasinan",84744,2,3207
"454",77729,"male",4,"urban","Pangasinan",34946,4,3207
"455",167892,"male",2.5,"urban","Pangasinan",25190,2,3207
"456",116431,"female",5.5,"urban","Pangasinan",9020,5,3207
"457",74748,"male",3.5,"urban","Pangasinan",74910,3,3207
"458",36426,"male",1,"urban","Pangasinan",15708,1,3207
"459",158347,"male",4,"urban","Pangasinan",199980,7,3207
"460",262608,"male",4,"urban","Pangasinan",488169.36,4,3207
"461",205263,"female",5,"urban","Pangasinan",194896.24,8,3207
"462",135445,"male",6,"urban","Pangasinan",100386,7,3207
"463",150798,"female",7.5,"urban","Pangasinan",87021.6,4,3207
"464",282864,"male",6.5,"urban","Pangasinan",154123.2,6,3207
"465",118588,"male",3,"urban","Pangasinan",96596.4,3,3207
"466",51650,"male",4,"urban","Pangasinan",39219.6,4,3207
"467",719016,"male",6.5,"urban","Pangasinan",105605.6,7,3207
"468",79634,"male",5.5,"urban","Pangasinan",36300,5,3207
"469",147926,"male",5,"urban","Pangasinan",44076.4,6,3207
"470",116355,"female",5,"urban","Pangasinan",74635,5,3207
"471",41667,"male",8,"urban","Pangasinan",36499.4,8,2940
"472",109297,"male",6,"urban","Pangasinan",22231,5,2940
"473",54197,"male",6,"urban","Pangasinan",39006,6,2940
"474",357795,"female",8,"urban","Pangasinan",103840,5,2940
"475",124346,"male",6.5,"urban","Pangasinan",84759.2,8,2940
"476",175276,"female",6,"urban","Pangasinan",174174,5,2940
"477",166367,"male",7,"urban","Pangasinan",129917.97,6,2940
"478",145224,"male",8,"urban","Pangasinan",86724,6,2940
"479",49081,"male",6,"urban","Pangasinan",30926.2,7,2940
"480",101768,"male",4,"urban","Pangasinan",81463.9,4,2940
"481",140748,"male",3,"urban","Pangasinan",24299,2,2940
"482",93074,"male",5.5,"urban","Pangasinan",60064.7,5,2940
"483",63984,"male",3,"urban","Pangasinan",34104,3,2940
"484",71335,"male",3,"urban","Pangasinan",58176,3,2940
"485",30049,"male",12,"urban","Pangasinan",66352,13,2940
"486",120341,"male",8.5,"urban","Pangasinan",173580,9,2940
"487",187684,"female",3,"urban","Pangasinan",194149.2,2,2940
"488",233426,"female",7,"urban","Pangasinan",1324620,7,2940
"489",45435,"male",3,"urban","Pangasinan",39091.04,3,2940
"490",274964,"male",3,"urban","Pangasinan",172920,3,2940
"491",136233,"male",4,"urban","Pangasinan",2290094.2,2,2940
"492",34115,"male",3,"urban","Pangasinan",52927.6,3,2940
"493",180047,"female",5.5,"urban","Pangasinan",129976,4,2940
"494",267634,"male",5,"urban","Pangasinan",297363,7,2940
"495",23776,"female",2,"rural","Pangasinan",16390,2,7757
"496",137668,"female",4,"rural","Pangasinan",72545,4,7757
"497",47382,"male",4,"rural","Pangasinan",31128.2,4,7757
"498",90946,"female",4.5,"rural","Pangasinan",44550,5,7757
"499",149879,"male",7.5,"rural","Pangasinan",100848,7,7757
"500",57313,"male",4,"rural","Pangasinan",27394.4,5,7757
"501",36643,"male",7,"rural","Pangasinan",39218.3,7,7757
"502",123276,"male",9,"rural","Pangasinan",125492.5,10,7757
"503",70469,"female",5,"rural","Pangasinan",53548,5,7757
"504",51754,"male",3,"rural","Pangasinan",35107.6,3,7757
"505",34866,"male",5.5,"rural","Pangasinan",27940,5,7757
"506",126840,"male",6,"rural","Pangasinan",131515.58,6,7757
"507",115462,"male",3.5,"rural","Pangasinan",96866,3,7757
"508",50628,"male",5,"rural","Pangasinan",30118,6,7757
"509",96744,"male",6,"rural","Pangasinan",108097.5,6,7757
"510",31354,"male",7,"rural","Pangasinan",11748,7,7757
"511",30979,"male",5,"rural","Pangasinan",22110,5,7757
"512",32586,"male",3,"rural","Pangasinan",24640,3,7757
"513",64356,"male",6,"rural","Pangasinan",62321,6,7757
"514",20775,"male",5,"rural","Pangasinan",18106,5,7757
"515",27419,"male",3,"rural","Pangasinan",8558,3,7757
"516",77963,"male",7,"rural","Pangasinan",60478,7,7757
"517",61724,"male",5,"rural","Pangasinan",52980.4,5,7757
"518",31053,"male",7,"rural","Pangasinan",33880,7,7757
"519",32640,"male",3,"rural","Pangasinan",84700,3,7757
"520",149227,"male",6,"rural","Pangasinan",67670,3,7757
"521",39012,"male",6.5,"rural","Pangasinan",55660,7,7757
"522",48595,"male",4,"rural","Pangasinan",26400,4,7757
"523",61175,"male",7.5,"rural","Pangasinan",71060,8,7757
"524",66212,"male",7.5,"rural","Pangasinan",51150,7,7757
"525",255910,"male",5,"rural","Pangasinan",287651,5,7757
"526",37950,"male",4,"rural","Pangasinan",93060,6,7757
"527",84530,"male",7,"rural","Pangasinan",65326.8,7,7757
"528",375800,"male",4,"rural","Pangasinan",619150,5,7757
"529",78120,"male",2,"rural","Pangasinan",160380,2,7757
"530",37702,"male",3,"rural","Pangasinan",72518,4,7757
"531",20908,"female",5,"rural","Pangasinan",30580,5,7757
"532",151140,"male",9,"rural","Pangasinan",228563,9,7757
"533",54750,"male",10,"rural","Pangasinan",66660,10,7757
"534",45230,"male",10,"rural","Pangasinan",51040,10,7757
"535",38982,"male",1,"rural","Pangasinan",22220,1,7757
"536",42138,"male",8,"rural","Pangasinan",85800,8,7757
"537",27795,"male",3,"rural","Pangasinan",29260,2,7757
"538",72995,"female",9,"rural","Pangasinan",67650,9,7757
"539",78134,"male",8,"rural","Pangasinan",81707.5,5,7757
"540",65053,"male",8,"rural","Pangasinan",114180,11,7757
"541",27128,"male",6,"rural","Pangasinan",50380,6,7757
"542",128940,"male",8.5,"rural","Pangasinan",96354,7,7757
"543",47337,"male",4.5,"rural","Pangasinan",56540,7,7757
"544",37697,"male",3.5,"rural","Pangasinan",25190,4,7757
"545",69162,"male",3.5,"rural","Pangasinan",35530,3,7757
"546",59140,"male",7,"rural","Pangasinan",30470,7,7757
"547",148033,"male",6,"rural","Pangasinan",116319,6,7757
"548",37322,"male",2,"rural","Pangasinan",27940,2,7757
"549",23375,"male",7,"rural","Pangasinan",27060,7,7757
"550",38199,"male",6,"rural","Pangasinan",39160,6,7757
"551",23445,"male",2,"rural","Pangasinan",24728,2,7757
"552",30151,"female",5,"rural","Pangasinan",29040,5,7757
"553",6067,"male",1,"rural","Pangasinan",9130,1,7757
"554",264496,"female",4,"rural","Pangasinan",246400,4,8462
"555",82775,"male",5,"rural","Pangasinan",69527.5,5,8462
"556",66642,"male",5,"rural","Pangasinan",110696,5,8462
"557",98713,"male",10.5,"rural","Pangasinan",239471,10,8462
"558",66344,"male",6,"rural","Pangasinan",76739.8,6,8462
"559",136834,"male",3,"rural","Pangasinan",100383.5,3,8462
"560",54694,"male",9,"rural","Pangasinan",70620,9,8462
"561",79089,"male",7.5,"rural","Pangasinan",167024,8,8462
"562",47310,"male",3.5,"rural","Pangasinan",17996,1,8462
"563",99777,"male",6.5,"rural","Pangasinan",83027,7,8462
"564",109651,"male",4,"rural","Pangasinan",155904,4,8462
"565",648558,"male",8,"rural","Pangasinan",385000,7,7757
"566",110600,"male",5,"rural","Pangasinan",45760,6,7757
"567",35980,"male",8,"rural","Pangasinan",61610.5,8,7757
"568",92420,"male",8,"rural","Pangasinan",70730,7,7757
"569",22710,"female",1,"rural","Pangasinan",12281.5,1,7757
"570",138887,"male",5,"rural","Pangasinan",83678.5,5,7757
"571",137403,"female",4,"rural","Pangasinan",103444,4,7757
"572",141090,"male",4.5,"rural","Pangasinan",159964,5,7757
"573",64126,"male",5,"rural","Pangasinan",53247.2,5,7757
"574",64500,"male",3,"rural","Pangasinan",39710,3,7757
"575",85820,"female",4,"rural","Pangasinan",82500,3,7757
"576",278927,"male",8,"rural","Pangasinan",295060.5,8,7757
"577",66880,"male",7,"rural","Pangasinan",49940,7,7757
"578",81226,"male",7,"rural","Pangasinan",54615,7,7757
"579",149140,"male",4,"rural","Pangasinan",166054,4,7757
"580",54400,"male",11,"rural","Pangasinan",66741.4,11,7757
"581",25445,"male",2,"rural","Pangasinan",25135,2,7757
"582",46228,"male",7,"rural","Pangasinan",54340,7,7757
"583",48352,"male",5,"rural","Pangasinan",21917,5,7757
"584",196172,"male",12,"rural","Pangasinan",88792,12,7757
"585",35629,"female",3,"rural","Pangasinan",38170,3,7757
"586",90222,"male",11,"rural","Pangasinan",86132.8,11,7757
"587",52305,"male",5,"rural","Pangasinan",55220,5,7757
"588",40038,"male",5,"rural","Pangasinan",23836,5,7757
"589",124720,"female",6,"rural","Pangasinan",149050,6,8462
"590",51742,"male",2,"rural","Pangasinan",117546,2,8462
"591",192734,"male",10,"rural","Pangasinan",197549,10,8462
"592",212345,"male",5,"rural","Pangasinan",130666.8,5,8462
"593",225400,"male",5,"rural","Pangasinan",166386,5,8462
"594",101920,"male",6,"rural","Pangasinan",131648,6,8462
"595",65400,"female",3,"rural","Pangasinan",60390,3,8462
"596",73230,"male",10,"rural","Pangasinan",68837.3,10,8462
"597",279563,"male",5,"rural","Pangasinan",332442,5,8462
"598",84237,"male",6,"rural","Pangasinan",48659.1,6,8462
"599",45520,"male",1,"rural","Pangasinan",29832,1,8462
"600",70553,"male",5,"rural","Pangasinan",40832,6,8462
"601",159242,"male",2,"rural","Pangasinan",88102,2,8462
"602",131663,"male",5,"rural","Pangasinan",87590.44,5,8462
"603",56863,"male",3,"rural","Pangasinan",8800,1,8462
"604",51617,"female",6,"rural","Pangasinan",39996,6,8462
"605",89235,"male",8,"rural","Pangasinan",23430,8,8462
"606",142969,"male",7,"rural","Pangasinan",133421,5,8462
"607",54283,"male",2.5,"rural","Pangasinan",13860,2,8462
"608",70504,"male",3,"rural","Pangasinan",4840,3,8462
"609",133905,"male",5.5,"rural","Pangasinan",134200,5,8462
"610",101679,"male",5.5,"rural","Pangasinan",103620,4,8462
"611",58312,"male",6,"rural","Pangasinan",50916.8,8,7757
"612",33570,"male",4,"rural","Pangasinan",22475.2,4,7757
"613",78238,"male",6,"rural","Pangasinan",83903.96,6,7757
"614",50466,"female",3,"rural","Pangasinan",31714,3,7757
"615",67383,"female",4,"rural","Pangasinan",146234,6,7757
"616",39866,"male",3,"rural","Pangasinan",23482.8,3,7757
"617",24670,"male",3,"rural","Pangasinan",22048.4,3,7757
"618",29089,"female",3.5,"rural","Pangasinan",45720.4,3,7757
"619",38889,"male",5,"rural","Pangasinan",27302,5,7757
"620",67828,"male",4,"rural","Pangasinan",110820.6,4,7757
"621",39920,"male",1,"rural","Pangasinan",23408,1,7757
"622",122504,"male",6,"rural","Pangasinan",83375.6,6,7757
"623",61653,"male",7,"rural","Pangasinan",82126,7,7757
"624",63844,"male",4,"rural","Pangasinan",79781.92,5,7757
"625",49422,"male",8,"rural","Pangasinan",34672,8,7757
"626",39785,"male",6,"rural","Pangasinan",48969.8,6,7757
"627",36362,"male",4,"rural","Pangasinan",32249.8,4,7757
"628",65484,"male",6,"rural","Pangasinan",194568,5,7757
"629",52634,"male",7,"rural","Pangasinan",93016,7,7757
"630",51458,"male",9,"rural","Pangasinan",110330,9,7757
"631",64313,"male",5,"rural","Pangasinan",60302,5,7757
"632",61487,"male",4,"rural","Pangasinan",75790,4,7757
